Rank,Principal,Points,Cloth,Wood,Glass,Metal,Circuit,Dfinity
118,xy2kz-dfrcl-jircn-qcbuq-qvawh-vanbi-dflqh-k4noo-rnctf-eyy4p-mae,0,3,0,0,0,0,0
118,4p32z-de2pj-wfcqf-5xqc5-4bbfy-3aura-g737p-ynxn6-nxmit-7imdp-5qe,0,0,0,0,0,0,0
118,a7wjr-dgrfa-4mjsy-qa7dv-4edb5-7rks6-otu4l-pfm6k-dsrrn-wllkb-aqe,0,1,0,0,0,0,0
118,fpabz-dhqru-2bw7l-7cdqf-ymq47-7xumt-mm4gm-x3yis-qjzgq-5o3qu-7ae,0,0,0,0,0,0,0
118,vmb4d-dbgbb-c2l2w-6e255-r5qcv-dcvbo-r2wq6-dw6ep-jwzf5-hymky-sqe,0,1,0,0,0,0,0
118,jkc6d-dghnd-dzkn7-ruclm-oob6z-6rdsv-cpumw-zbjr3-eqsy2-ixtcw-tqe,0,0,0,0,0,0,0
118,tjqid-dg2h5-tvkri-zhokb-ka5dv-bchkp-seyum-dccvx-pf26x-pbqxy-cae,0,0,0,0,0,0,0
118,4mkil-dgkqr-jpjdk-y7uel-5dc4f-h6r2t-5ey5h-7zxls-q5ogo-efevr-jqe,0,1,0,0,0,0,0
118,ykva3-dg3sz-oyxvj-egq3m-fuz2q-kbdtm-l4rpn-k2ubg-a4wlj-lpjhk-rqe,0,1,0,0,0,0,0
118,z3t43-dhvbs-cbegi-f6doz-65yef-3ir3a-523cu-7ryou-6yi7n-p6aax-7qe,0,1,0,0,0,0,0
118,migpl-dggdx-izpy4-vcvpp-rngj6-rhdvh-5jpsm-akbwd-y4m6p-hhll6-hae,0,1,0,0,0,0,0
118,fhx4t-dat73-sbuxn-3kxkj-32tcb-w5c35-pdmly-ohaik-qr56n-jrg3v-wae,0,1,0,0,0,0,0
118,swqqp-dfqih-gidxo-mevco-6gupu-lj3e5-acfgr-t4ipd-627hv-5hedy-fae,0,1,0,0,0,0,0
118,wxwph-dgcf7-4vok4-muvaf-gwfxj-kyu7m-qqw3s-dtcao-lzcpf-me65g-mae,0,0,0,0,0,0,0
118,walbh-db4lz-sef3r-gf5d5-gctsg-dvw6v-quzpn-bmib2-5wlrk-ggqjm-xae,0,2,0,0,0,0,0
118,rrabh-dgom7-5guf7-54bn6-n7kgd-g4mud-qaojw-sixhh-2drku-5y4kg-yqe,0,0,0,0,0,0,0
118,rqvfp-dg3q4-64cdh-mifkr-7w7t7-zrtpl-bodko-pupr3-eymte-24h7j-nqe,0,0,0,0,0,0,0
118,mxg3x-ddmcs-zpvdn-echcx-dqetq-khl6i-eiq67-5ch7l-ie5x5-fihcn-wqe,0,0,0,0,0,0,0
118,mmdh7-daxb2-7hje6-cnhtq-icpze-6ghzf-cf3p3-a246c-gv36l-c42u3-eae,0,2,0,0,0,0,0
118,nnkgq-tejxs-fsje2-3cfnf-qxlsa-vshu2-cguq4-vmhjk-iftt7-lojib-wae,0,0,0,0,0,0,0
118,gczdi-tf53s-4zu7r-jsaso-prskx-wxm5h-oa232-chflp-jt6yb-pioxm-uqe,0,0,0,0,0,0,0
118,kl7xq-tcpwf-ehsjb-yjhzg-bo6v6-hgfhq-bopul-q2lao-uacvr-tc4ic-tqe,0,0,0,0,0,0,0
118,mhi5u-tampt-wk7sz-53nhy-5kkio-spo3h-vstjs-2dnhj-qanvg-2cuu5-lae,0,0,0,0,0,0,0
118,wsu2c-tcuye-4mygy-flpdv-ntwlp-vqxsq-42w3r-vcqm7-5xzzv-quxpo-5ae,0,2,0,0,0,0,0
118,72cgg-tadqb-yrz2l-x7tnj-kppno-wvz6e-omoki-6jqfl-2muni-bnc6z-zqe,0,0,0,0,0,0,0
118,bfo6g-te57r-vkiti-puv66-6wtt5-45ezo-nooxq-bl4rh-6jxqh-hcser-zae,0,2,0,0,0,0,0
118,33z3k-thtq5-stk7q-jhgpp-yxqjo-vlbjg-ljvct-k4rej-7h5ss-m6wt5-vqe,0,0,0,0,0,0,0
118,6in7w-thkxs-i6s2h-xxfio-akc6o-xemt2-6s4wd-zeaxm-thxw4-6mmlr-aae,0,0,0,0,0,0,0
118,q4csb-tgveu-rnbf2-oyoj3-dpxp6-rh3rc-i2ovy-mr6dz-mueo3-4dq5o-6qe,0,0,0,0,0,0,0
118,rxnnb-teb7u-ix4g6-mk5qi-wuemu-gzgnp-lteuy-uzzcy-ft2lx-cdftw-jqe,0,1,0,0,0,0,0
118,qkqzj-tawqg-6yaqn-ju2a5-fcnut-i5jkl-or4vb-cvz3p-yb5yl-ca53h-dqe,0,0,0,0,0,0,0
118,rqwlz-td6b3-q2tdi-vj53q-lu5k6-qpcyl-fjvwt-bngzh-b6b5n-gwqfs-oqe,0,0,0,0,0,0,0
118,rfwwf-tdtzn-2v3u3-jpdw6-ucwlc-yy34e-4onod-bpmy7-akmz6-ldrbx-cae,0,0,0,0,0,0,0
118,2p3o5-tgfin-7rmdm-27ke7-kvdud-jhbgh-vophs-pqy2i-2wfsy-gyee3-oae,0,0,0,0,0,0,0
118,d6ydv-tfkru-jlaq6-vhna3-seylf-ygihs-mhskz-hlxsd-mfbf4-g6tb2-jae,0,2,0,0,0,0,0
118,y2c6t-tfis4-sm7uc-ku7hf-sy4zm-v7kaa-nwyoz-pvqny-joxu6-27brt-hae,0,0,0,0,0,0,0
118,vp5wt-taugl-xgjou-wixzd-k5oxn-fbh4i-ht5tv-2ny7g-u5cnk-ditlc-rqe,0,2,0,0,0,0,0
118,h6li3-tblpf-vcndk-jaeay-cnscn-dncmr-o6j27-tsdq2-bjimq-3unbf-6qe,0,0,0,0,0,0,0
118,h6d5d-tepm6-2mt5k-u6rqw-5gflx-2ghfz-jia3p-eehz2-af5ui-tst65-wae,0,1,0,0,0,0,0
118,fqmkx-tbqwz-ltybv-cvtya-oljg6-gxs4n-j3kub-ly7qr-midmb-abmpk-lae,0,0,0,0,0,0,0
118,as2kx-tft43-kvowh-p6er3-tjoto-wcqju-7ggmy-papuz-vtunc-ehneb-vae,0,0,0,0,0,0,0
118,crp27-tg3gu-3k4vs-dg6ka-lsiaw-h4ytc-gdlhi-w5xrj-eldjw-rdgze-vae,0,0,0,0,0,0,0
118,yimzh-tc5zr-rccna-wljvu-kgfs3-hjrno-54bxd-34ghh-ek5fq-dsz24-2qe,0,0,0,0,0,0,0
118,abxzh-tdrjs-to4k2-5yhqe-y7xfe-ykfca-tjz2x-n34hv-ijmyq-344wf-sae,0,0,0,0,0,0,0
118,ges5p-tdk6o-rmmxa-wx5rq-sdmtr-bu3gt-ttmut-uohmz-um3tk-kweed-5qe,0,0,0,0,0,0,0
118,swz5p-tb2ly-sa5sc-6qbt7-wq6fz-5fl5y-2byoa-ixuoq-263if-ifzgn-nae,0,0,0,0,0,0,0
118,jmuqi-lejnd-flosl-6icuo-gcpka-p5xdq-lbwt6-z4h2r-noqpi-m26f5-qae,0,0,0,0,0,0,0
118,jdrai-lfqzf-m3lyz-tpezu-bo27t-bqspb-cabit-l76f7-orvrn-ovnxc-5qe,0,1,0,0,0,0,0
118,aecza-lek2i-bumwb-o6ud3-w7czi-zy64x-zu3ar-koyj4-obidb-4lwvc-lqe,0,2,0,0,0,0,0
118,owddy-lhgtq-kt5nw-vxebb-wlcx2-vwjyl-wqiom-52njx-qacqx-eebte-kqe,0,0,0,0,0,0,0
118,fiyee-lbeaf-6gzvx-a2n6v-hvfo6-gfept-64d3w-kgqe3-4jymk-2j7p5-mqe,0,0,0,0,0,0,0
118,bxz6m-lfvy5-orvf2-4qxen-trnmt-ve6mw-kdps5-4eog2-succl-7bv2y-oqe,0,0,0,0,0,0,0
118,kyf2m-lclwa-qivov-5g5qa-tms6v-m43ag-gimb6-pr7o6-lzygx-halcd-fae,0,0,0,0,0,0,0
118,xqpku-lgoo2-gls5h-zf4po-rs6ri-x7kqg-qhjht-lyckr-ney34-ljwfh-iqe,0,1,0,0,0,0,0
118,27orm-lbxfx-dxzwo-xljla-f5sqr-tozxq-kyzaf-j4puj-ppvos-3pauz-2qe,0,0,0,0,0,0,0
118,ezyzm-la3oh-pfhsp-ujb3a-yv3ib-eetdc-3xo5m-ybdca-crvxy-asqg4-aqe,0,0,0,0,0,0,0
118,jpl7u-lafbp-nfknh-ukfvj-n33rc-kjd36-dsutt-m3mnf-ase4s-am2eu-aae,0,0,0,0,0,0,0
118,egswc-lflbc-otp2z-knbxp-n3y4k-egodt-g7yen-263yg-uo77r-zpyv5-fae,0,3,0,0,0,0,0
118,sh4ss-lhuxq-6ivfe-l3e4e-bubk2-qty3r-gnwwh-r5p25-obo4p-rq4im-yqe,0,0,0,0,0,0,0
118,hmca2-ledzj-zkz26-onbkf-ho7lz-xf7dv-o27rn-idolk-pgy62-ls3o3-mae,0,0,0,0,0,0,0
118,ehnrc-lbol3-ith5u-uk2fe-frcot-w5xvs-e5thm-ydfo6-3yirc-2lbrb-pae,0,1,0,0,0,0,0
118,ewe52-ldxdu-wfshq-udq2e-mlhpo-ltcwl-34yv4-w5r2l-ztzpr-7drfa-xae,0,1,0,0,0,0,0
118,rtgig-lbf4z-n2zsf-bwuxf-cxlhl-oougw-mhtif-teea4-xcya2-2adyd-vae,0,0,0,0,0,0,0
118,yxzog-leriy-acnsh-dlcrn-dth4b-rsqmu-bgcaw-7kscp-ar4nj-bzd7t-dae,0,0,0,0,0,0,0
118,qmbqw-lfxry-irzst-f35hj-xbpqy-ykbqm-2oy7z-qrqe4-legfh-6sw5d-oqe,0,0,0,0,0,0,0
118,y3bs6-lbfan-ejkch-mz3vj-uyrc4-gigl2-62vas-vus7q-wjjnd-56edp-qqe,0,0,0,0,0,0,0
118,hm75g-la3ep-el6v4-sinx2-smbio-akuot-a5p3i-y5rc4-eidpi-zgmvr-uqe,0,0,0,0,0,0,0
118,hjk4b-lasb6-jjpo5-xhoye-svsus-7sbuw-cqu7o-gqq6x-qdf5w-wa55i-5ae,0,0,0,0,0,0,0
118,imoaj-ldj2c-yy5ge-ld6nj-z4t6c-tt2nf-o5mdi-2rtwl-ooyei-ku7y5-5ae,0,1,0,0,0,0,0
118,iceuz-lfg6g-dndac-pvowu-rmv7h-d6dtz-j6z3g-rvxl3-km5rq-74yfc-7qe,0,0,0,0,0,0,0
118,dkp3j-lc43m-wxze6-f2vas-otibq-wsfbv-dnmf3-gywxx-zfiys-6dv34-tqe,0,0,0,0,0,0,0
118,zkebj-le7ul-ibfqe-6bfs2-gfeds-56l4m-cqvtn-d44to-ssam5-gko4l-gae,0,0,0,0,0,0,0
118,bwkcb-lcxj6-ofk62-iryin-ba4r5-fi42h-eso32-tn6ff-e55s7-ynocy-iae,0,0,0,0,0,0,0
118,f452n-ldf42-tzf5e-hqrxf-ht7x7-y2j56-r4jxi-cr7jx-46fvc-m3rkz-kae,0,1,0,0,0,0,0
118,k5au5-ldake-6mk5z-6ez2d-3vmrb-a2y5p-gzk3z-arkrr-qnwbs-j2jmu-yae,0,0,0,0,0,0,0
118,ic7lf-lad7m-i2aq2-apjj3-ctedv-mfzbc-rst4p-24qdd-rufzy-lgxin-5ae,0,1,0,0,0,0,0
118,yxz7f-lf2ic-hod65-dwrnf-dzjbw-zuzae-novlw-enrcm-5b6hw-fuhvr-cqe,0,1,0,0,0,0,0
118,ye5tn-lbsbo-j5o5j-5ccrr-tzjqd-efapz-fgn3t-nnzwc-ckabg-k3swx-gqe,0,1,0,0,0,0,0
118,e7pdv-ldv5p-22khm-72acl-62sgj-q4qmv-ejydn-5cciu-tnvb5-a2apf-sqe,0,0,0,0,0,0,0
118,giah5-lefb2-gnbfv-svdjs-mqgo4-d33g3-uqavu-225du-luunu-juxcx-aae,0,0,0,0,0,0,0
118,ayhet-lg6qw-qzwcl-fa2s5-cpt62-qzfr4-dowhc-oxdxa-lmpx7-glrw6-tqe,0,0,0,0,0,0,0
118,qask3-lffjp-7jxsd-zaqyw-i6jkl-zv7xb-de4xr-ckh57-bndbo-l3h4o-jqe,0,0,0,0,0,0,0
118,obqnt-lf6dj-jotsc-5qyvk-6aqy7-sk6oc-maicm-aucxc-labpb-aqxqc-nae,0,1,0,0,0,0,0
118,6kgep-lgnue-xgjoc-v45uq-tylja-iocv7-vdsla-zf25h-pywyv-go6uf-wqe,0,2,0,0,0,0,0
118,pgqyx-lch64-dyfsg-mt3in-5mbjn-ru26d-ejp27-mezzs-atbyb-roypx-cae,0,0,0,0,0,0,0
118,whye7-lc7vs-ks2t6-bh4zv-lh4yc-y2noj-e2ufc-qxzc7-2zjkj-sneqe-qqe,0,0,0,0,0,0,0
118,zupbp-lcggt-idsk4-ckbpo-d35qh-bosph-h7qhr-glymo-clwj7-irect-xqe,0,0,0,0,0,0,0
118,zezxp-lgx3o-krj5p-6ojx5-kdolc-pgb63-ea2tw-et3e2-rf4cg-o3mou-oqe,0,2,0,0,0,0,0
118,yce5x-lhhip-dp5hq-5tdmh-efbqj-daxwj-hpuys-kbngx-ajwny-npsl7-gae,0,1,0,0,0,0,0
118,g6zn7-lbr5x-sylca-rl6wt-q245e-pbvau-2c4uu-yk5ic-ykuw2-hqfol-eae,0,0,0,0,0,0,0
118,gks6i-3bree-fd4e3-jtpxn-nvm5k-xcemh-dl5vw-rnfkp-upzpk-wacs7-sqe,0,0,0,0,0,0,0
118,lisxa-3eqt4-ne3k4-7n32g-u3mgz-momr7-ft5k7-phptn-wwdmu-u74hy-gqe,0,1,0,0,0,0,0
118,lpdha-3ckld-b3q6i-uivqu-5g4fp-yaba2-345mq-fsy7b-6vuge-i4z7h-aqe,0,0,0,0,0,0,0
118,lujji-3dcqs-73kou-s7ok3-eqmf5-o3r2w-bin4g-mwg7x-7ikbu-bb2fu-mae,0,0,0,0,0,0,0
118,cs5dq-3akup-5fa7b-otcrp-36xai-q5hcr-tsikc-g5iqi-meswj-f4si6-wae,0,1,0,0,0,0,0
118,nfilq-3cym2-cre3r-6hila-jq4vz-xkwdy-qwhnb-yzd63-34xs6-zu5of-qae,0,0,0,0,0,0,0
118,cmyme-3dm5s-juvuk-gtffj-pr6cv-snbcm-6vurp-chv2b-fyzev-j2ouz-kae,0,0,0,0,0,0,0
118,ooj4m-3hp6n-3n47u-xvfmw-eob27-hxrq3-xoynw-pxd26-z65m6-idkal-bqe,0,0,0,0,0,0,0
118,cotau-3bemv-7vxu6-qubvj-xdoqi-kyx2n-wbmnl-knjpl-lq32p-qrfac-wae,0,1,0,0,0,0,0
118,gjvte-3g4us-sa4f4-yrhnb-ufbdo-gkemq-zeg32-wtbfh-fqf7u-35czk-fae,0,0,0,0,0,0,0
118,prpt4-3cvy3-resu3-hpumd-fov2r-uc3ln-yg32b-7rpkv-w6qly-dnrik-xqe,0,1,0,0,0,0,0
118,xtgwc-3fg4g-3pibw-wvcks-7o2wi-oh6iv-bg4uu-smdff-ocqcu-2f6gf-vqe,0,1,0,0,0,0,0
118,cdagk-3bj6l-7s22j-66uky-eknix-n5rt6-u7y72-sbks6-lihsh-pagnk-vae,0,2,0,0,0,0,0
118,s6kyk-3eh4k-rzi2y-v74xv-xzxdo-hbttl-h2c6n-5mtem-kzxa6-473ql-2ae,0,0,0,0,0,0,0
118,wiq22-3fou5-taoto-muxxf-7uvx6-cccx7-lguvc-xzb3d-txl7z-n3cvo-mqe,0,0,0,0,0,0,0
118,wuetc-3bppu-aoe4c-xgr7a-h336h-o6wvw-uem4g-bhf7y-onlen-pcvi2-dae,0,1,0,0,0,0,0
118,24fb2-3eznt-jxas5-qu2kf-7h3c2-6rdmk-goagg-cwsth-b6t2x-a2gmv-tqe,0,1,0,0,0,0,0
118,igoao-3dxkn-e62ha-gdxwb-dvplw-pxf3v-3czxf-mhxzo-msyn4-qddjb-xae,0,0,0,0,0,0,0
118,dan6o-3htq3-ed7la-ek3oe-qw7h5-ouhlo-yb4bf-s67ht-kj5tr-flypq-zqe,0,0,0,0,0,0,0
118,qajow-3hlug-3icux-coonq-mt5gm-i4d3x-37er4-eg5vf-p64p6-4svo2-5qe,0,0,0,0,0,0,0
118,cxk66-3d2sx-sxtae-4vfqo-zajo5-acteq-kr5tn-bxwbb-g63hk-kkigv-hae,0,0,0,0,0,0,0
118,vh37g-3girj-rw727-wwm3r-wqwwz-7meya-3skh6-sbg7y-7f2bn-wj3he-zqe,0,0,0,0,0,0,0
118,4wvjo-3huj5-oeze7-dgglz-kt5d3-nkb7a-hpepn-cll6c-zkmvt-wydap-kqe,0,0,0,0,0,0,0
118,h22fo-3cpmo-xeoal-xwimi-efigd-6ihlm-db6n2-migyo-5u7e5-jw5n6-zae,0,0,0,0,0,0,0
118,aoz76-3adfm-c3f3n-jziwk-xtxd2-mjap2-lv6tg-e5w33-jzuqe-3ly2x-hqe,0,0,0,0,0,0,0
118,e25z6-3gg4y-7h7ny-yttaw-sia6v-6edgq-nxddn-u2yij-lncp3-mlqoq-nae,0,1,0,0,0,0,0
118,ofymj-3bmdq-bxabx-f26tb-egm3f-o22cn-uuszz-6tteh-abzch-uk36v-uae,0,0,0,0,0,0,0
118,4xxrb-3dt76-gbju7-ft2df-guxwm-t7zq3-va2ck-hjovi-uvqug-tbk7o-eqe,0,1,0,0,0,0,0
118,4r3fr-3az3j-xigsa-s6agg-juw7y-qxk7h-jmett-kg4tg-q4noz-upvqs-qae,0,0,0,0,0,0,0
118,7knjz-3fmgk-ew2ew-d4njr-dg6rz-sycky-m3be7-nsj6o-ot46v-djrjy-yqe,0,0,0,0,0,0,0
118,e2f4n-3fje6-d7wqh-mygyp-fkmus-h7p3m-6wjvm-tw2td-6rlsg-dc734-gae,0,1,0,0,0,0,0
118,yiyov-3f6p5-kxfm7-rpxsq-bk3vw-jxgr6-c54sm-ns7du-rznd6-fmhzb-bqe,0,0,0,0,0,0,0
118,q5uu5-3ahlr-n3lr3-6jacg-sq7up-7yczx-6itgn-lbro2-r2vjm-erjjy-cae,0,2,0,0,0,0,0
118,gyxhf-3ct5x-ydmkd-htwpt-ph6yp-eq3bq-xwwyr-2s67f-2siuy-lcqgf-5ae,0,1,0,0,0,0,0
118,2qm3f-3foi5-2vo5e-j7kzo-dsa27-6vohn-rjwhq-77qdh-v3rty-c4rx2-fqe,0,0,0,0,0,0,0
118,twtxn-3en5v-4cb4m-ixo2d-ztqus-ytsxr-bis2l-47dom-3e3o2-mosoc-rqe,0,1,0,0,0,0,0
118,atvvv-3fkip-jjjv5-kncfl-l7sqa-luamk-mftnp-ku35f-6ewkv-gctdt-3ae,0,0,0,0,0,0,0
118,esm4p-3hmjr-dkczc-3hquo-dufsw-iwedo-nmewa-gxktq-cifwz-sj5lq-pqe,0,0,0,0,0,0,0
118,n7fit-3cska-7yl2r-3voxm-atjh7-3mm5g-d7m47-25r4b-tt4t7-uh6bz-mqe,0,0,0,0,0,0,0
118,yzsyx-3gka5-qohnq-qcazo-2o6mm-3z3wv-erylq-7alku-wbyox-pvgux-nae,0,0,0,0,0,0,0
118,eonsx-3hzmi-bl353-hoa4r-w7ish-v6pdl-fgpx3-tch6u-2izla-gzuqg-sae,0,0,0,0,0,0,0
118,dnnfh-3gwub-jsjsk-6g3ot-etvyc-5npr3-egkls-rdr7s-mpyft-trrrp-fae,0,1,0,0,0,0,0
118,2n5dl-3h65n-3j4nf-bjgwq-d6277-f3tqn-wmf42-ezfug-rly5a-lxo36-mae,0,0,0,0,0,0,0
118,7kzpl-3hscx-izpls-ov26y-ai4vd-bsfef-wwhfv-oloiw-px6ap-babr3-pae,0,1,0,0,0,0,0
118,nbrxp-3drss-23ukx-b3gdo-lv7a4-qrrjh-kldgw-au3xd-besd2-64zgi-sqe,0,0,0,0,0,0,0
118,hwfmi-hfdzx-xxmui-kdg26-aktma-655m3-jhrgl-5qnis-tht3o-hmtqe-vqe,0,0,0,0,0,0,0
118,nj3ky-ha2ft-mjv6v-tsa2v-uqoxf-eowhz-qz2ow-sgum6-xqttj-qmfge-mae,0,0,0,0,0,0,0
118,3hr6y-hefpc-xsxiy-mpwhl-ciscr-bnkyh-3rlol-l2ttq-yllcp-wlpde-cqe,0,0,0,0,0,0,0
118,7nj5y-hhp5o-heyud-byooo-6esor-kicmm-nnyyq-myc5h-obirg-rhdqd-gqe,0,0,0,0,0,0,0
118,e5hny-hdjy2-zmvz7-k7bnv-yn5ty-cdmbx-2idnd-qffny-d36di-ruzv2-7ae,0,0,0,0,0,0,0
118,g6zwe-hfnaw-l3ij3-nuzu4-yqvrx-bqfhe-ggutb-7xhdj-tizhq-ah7f4-dqe,0,0,0,0,0,0,0
118,4qqme-hejv7-a3yci-gmfqf-ko4rp-dxenm-wewhq-4rqqr-x2nog-qwxsx-tae,0,0,0,0,0,0,0
118,abcum-hbxa6-wbxml-jptx5-m3eyt-3uwar-epfu5-jp65b-sacjs-zflia-vae,0,0,0,0,0,0,0
118,qheqm-hcfgi-hxj75-5twvf-acd4b-r52uf-is2fi-sqkct-qoubw-wsxte-kae,0,1,0,0,0,0,0
118,5nto4-hcx34-3qd7f-pqk3u-cawxj-twrej-sujwa-jw2uu-ookbm-5mb7o-vqe,0,0,0,0,0,0,0
118,52ane-hgb6v-pbqhw-wwzo7-rvjiy-gho3z-ktefn-6cuxo-ktehg-xfqkl-5qe,0,0,0,0,0,0,0
118,f6nbu-hes54-7j4ba-aamf7-qvc4d-wq5cp-ivzpk-ba2gp-btsqj-6pdsp-dae,0,0,0,0,0,0,0
118,2di2c-hdtmu-s6kcr-36gcv-2ymhh-dvheg-m3ep7-u67ab-i5huk-w6qwf-vae,0,0,0,0,0,0,0
118,6zdic-hdi2s-gba5t-essj2-xs4yz-e5hn7-pz3qu-5n72a-5oima-pxrgz-pqe,0,0,0,0,0,0,0
118,lseug-hgu2m-7jvhj-75xef-g7uaa-62k7n-ohl3l-byiro-iecbh-xuep3-pqe,0,1,0,0,0,0,0
118,gwveg-ha2c6-qjo7y-rsg7e-3zjl2-yoobt-w52sy-gafgh-rncao-dmo35-eqe,0,1,0,0,0,0,0
118,hka2s-he3rp-dotrh-p6xkt-5qbfw-wzysg-xnpib-fbhtf-ztkys-ag67r-bqe,0,0,0,0,0,0,0
118,mvwww-hhuhm-y5kml-he5xx-sgt6v-yarlm-rb7pc-mtqjl-mw47z-bmw2i-qqe,0,1,0,0,0,0,0
118,y65s2-hb6fn-kqox4-tyqze-njssx-2ftah-l3vq6-d2bvt-4kbzu-p2ugs-6ae,0,1,0,0,0,0,0
118,cetto-hawtb-2m5g2-zfunf-yfmoc-43ggc-afvvp-4rh6s-nthxf-lv4sa-jqe,0,0,0,0,0,0,0
118,kpxno-hbnsa-s3pmf-aw3uk-vbxdz-nphwg-epgew-bjli5-jc6g6-i3mkp-4qe,0,0,0,0,0,0,0
118,xfj4j-ha3oa-6gsjv-y635i-mkpba-cph6k-3ze5p-5ywtp-qwoor-a5m5f-dae,0,1,0,0,0,0,0
118,sulwr-hd4ba-u5df5-fdkyt-o57uq-bbf5n-rdtik-nvj7a-jpfur-ljcr2-cae,0,1,0,0,0,0,0
118,on4kz-haa4j-7yjur-67uxe-5i55t-ljfsc-qv3y6-itxzj-vej4k-qlffc-mqe,0,1,0,0,0,0,0
118,yxonb-hbvws-c445i-7lrce-57c6c-fw75y-lerwl-2jlbz-xwyk2-isluf-fae,0,0,0,0,0,0,0
118,pes5b-hgxuc-6wjti-3lz45-7hyrw-2gp4u-i2cds-mj7r5-ngr5s-yybbl-dqe,0,1,0,0,0,0,0
118,otilr-hg7zc-qcnuo-ft5zo-3nwok-qxfk2-ldimv-wxcnj-mxo2j-xx4wl-vae,0,0,0,0,0,0,0
118,wlfqf-hgzi7-qi5oy-domgm-54aqv-6rqky-qqywi-w4lhc-lidqg-z6pnk-aqe,0,0,0,0,0,0,0
118,tgccn-hefr7-ix2db-5qpkz-pykwr-4hyya-x5leg-o5dvn-ezgd6-4m3k3-tae,0,0,0,0,0,0,0
118,ndvkv-hc77k-uh5f5-ojqr4-dal3y-qa4sg-53sad-botvc-jejkx-5yhvn-4qe,0,0,0,0,0,0,0
118,fjzrf-hfxkx-qhvnd-gbixr-sxi7h-k4fgg-aqsb5-vfnfr-orkgr-2ewnr-oae,0,0,0,0,0,0,0
118,ptiid-hec22-oyzkr-op52w-fkzsi-hrqzz-mlel7-ahmyw-3lvrd-nk3q7-wqe,0,0,0,0,0,0,0
118,tlc2t-hdppc-encov-36nzp-xxz4d-dlvig-2mxbf-ugevm-jmfva-i3qcu-zae,0,3,0,0,0,0,0
118,skqe3-hdegk-prlc2-yvibh-2mk3l-llwr2-7y3ca-iag6n-zsz6h-srwfi-4qe,0,1,0,0,0,0,0
118,ygpk3-hfzga-nu333-abfyz-rqnrs-w42bz-zmn7o-h34yv-2iuhx-ppgi3-vqe,0,0,0,0,0,0,0
118,g7kxd-hhyey-jnnbj-xdje7-prgnj-baqfe-iui36-etkub-4zrao-d6chg-uqe,0,0,0,0,0,0,0
118,pyt3h-hcomv-fwp2m-mjg6a-kgdfm-nesom-kf6o6-nqnwi-vm6qn-7rn2j-fae,0,0,0,0,0,0,0
118,vln7h-hgizj-be6i3-kzat6-astwz-5kcsn-77mbl-iffx6-5o4am-scfxf-6qe,0,1,0,0,0,0,0
118,tvcr3-hdbgj-6lxnb-znfhd-q6bn6-6sqnr-ikqux-bcx65-yp6rt-m3g6p-iqe,0,0,0,0,0,0,0
118,nn7iy-xhsh3-cjyuu-eaglq-3qpni-skmp3-uaoo6-qbqnf-yvehd-k7zc2-6qe,0,0,0,0,0,0,0
118,ztnja-xboxi-z2anp-myycr-lrugh-rqk4s-qykd7-h7b2a-a2nvt-6eyjw-7ae,0,0,0,0,0,0,0
118,y76pa-xfs33-2z5qo-b44i4-b63ia-rbyef-jlebf-46jrt-wueq4-ohsus-yqe,0,1,0,0,0,0,0
118,kbuse-xfi5p-i6qca-ysyd5-snmth-woy54-h4kt7-mxvvk-kfict-sx7mg-wae,0,0,0,0,0,0,0
118,6foam-xhrsr-v6ca4-3dryf-s7y3y-b6jqo-6dsrx-vsco4-5qffu-6s3yn-3qe,0,0,0,0,0,0,0
118,ami6u-xd57l-x2lyt-3hyj7-e5vax-ee6nj-d3mhi-gvyyp-voplg-dmd3g-zae,0,0,0,0,0,0,0
118,zzqsu-xgv4l-qhcxz-6xhoe-pwgun-aeabd-tkr2z-7qbqr-xslbs-4ej3r-kae,0,0,0,0,0,0,0
118,5wp7u-xhpnx-znqsz-siuqj-ceevv-efmsy-vopq2-fgbs2-maedr-aege5-lqe,0,0,0,0,0,0,0
118,itelu-xfurf-36axa-fa6w5-cdu5d-e2awq-lsljg-b2jub-4faqt-mnuzo-7ae,0,1,0,0,0,0,0
118,7ovr4-xgjbx-rzm6g-fmgqs-kl5m3-pdl77-4dwxy-ae5lz-cfgc2-yrzuy-nae,0,0,0,0,0,0,0
118,vtdgc-xdwld-ajvqb-fhim5-isrfa-4txp4-x3pq5-nsxjq-isgro-s37md-xae,0,0,0,0,0,0,0
118,ar52k-xg226-pgcfr-bwfaz-n43by-rutlk-lw2d6-txkzu-dnxyq-cwlwc-eqe,0,0,0,0,0,0,0
118,cj3ws-xcunc-vyugg-jspp3-hrpvj-xgmz5-l7t6v-c6ntt-gmybx-7e4lx-qae,0,1,0,0,0,0,0
118,hbqxk-xdd5k-ol6hg-xxoql-hkgrn-3itfa-vrjld-d2e6z-xqdbs-rp3hv-vae,0,0,0,0,0,0,0
118,axsjs-xefml-nc4wo-4y7i4-nnpzf-d37ai-nnfvv-w324v-ykz7c-r3tu7-5qe,0,0,0,0,0,0,0
118,kgzds-xe275-hgdjh-oy5zf-m6ydz-u6k4o-lytlt-jza4k-6rgmu-iqr5b-uqe,0,0,0,0,0,0,0
118,zzdoo-xb4j5-r26zt-nu45f-qd74c-ezigl-dvfe4-fas7k-cmdtj-dwmkt-fqe,0,0,0,0,0,0,0
